player_stats_id,player_id,game_id,PaComp,PaAtt,PaYd,PaTD,PaINT,RuAtt,RuYd,RuTD,Target,Rec,ReYd,ReTD
357,67,2024091503,,,,,,32,151,0,0,0,0,0
358,44,2024091506,,,,,,21,81,1,5,2,9,0
359,52,2024091507,,,,,,17,133,0,3,1,3,0
360,64,2024091503,,,,,,12,103,0,4,2,32,0
361,51,2024091502,,,,,,11,35,1,4,4,35,0
362,69,2024091506,,,,,,14,38,1,5,5,31,0
363,61,2024091601,,,,,,14,97,0,5,4,25,0
364,59,2024091509,,,,,,13,52,1,4,3,6,0
365,40,2024091601,,,,,,22,95,0,5,4,21,0
366,60,2024091511,,,,,,12,25,1,5,4,27,0
367,54,2024091513,,,,,,19,90,0,5,5,21,0
368,55,2024091502,,,,,,13,84,0,7,7,22,0
369,96,2024091506,,,,,,11,96,0,1,1,7,0
370,49,2024091504,,,,,,17,62,0,6,5,40,0
371,73,2024091507,,,,,,8,38,0,3,3,47,0
372,78,2024091505,,,,,,10,82,0,0,0,0,0
373,103,2024091508,,,,,,10,64,0,5,4,12,0
374,70,2024091512,,,,,,17,69,0,2,1,5,0
375,46,2024091505,,,,,,9,32,0,6,5,36,0
376,114,2024091514,,,,,,2,3,1,2,2,4,0
377,92,2024091601,,,,,,9,53,0,1,1,12,0
378,90,2024091512,,,,,,11,17,0,5,5,48,0
379,56,2024091509,,,,,,7,64,0,2,1,0,0
380,57,2024091510,,,,,,4,1,1,0,0,0,0
381,93,2024091512,,,,,,9,42,0,2,2,19,0
382,80,2024091501,,,,,,7,30,0,5,4,29,0
383,84,2024091508,,,,,,18,59,0,0,0,0,0
384,313,2024091509,,,,,,14,42,0,1,1,9,0
385,41,2024091514,,,,,,9,25,0,5,3,25,0
386,58,2024091513,,,,,,12,34,0,1,1,13,0
387,87,2024091511,,,,,,2,46,0,0,0,0,0
388,83,2024091514,,,,,,14,18,0,5,4,24,0
389,62,2024091501,,,,,,8,39,0,0,0,0,0
390,77,2024091510,,,,,,9,24,0,4,3,14,0
391,314,2024091514,,,,,,7,32,0,1,1,3,0
392,63,2024091501,,,,,,6,16,0,3,2,16,0
393,74,2024091510,,,,,,4,22,0,2,2,10,0
394,112,2024091201,,,,,,1,-1,0,2,1,33,0
395,89,2024091513,,,,,,4,31,0,0,0,0,0
396,81,2024091504,,,,,,6,20,0,2,2,11,0
397,315,2024091511,,,,,,8,28,0,0,0,0,0
398,86,2024091201,,,,,,9,29,0,1,1,-1,0
399,316,2024091509,,,,,,5,26,0,0,0,0,0
400,91,2024091508,,,,,,7,20,0,3,3,5,0
401,118,2024091513,,,,,,7,24,0,0,0,0,0
402,117,2024091514,,,,,,2,3,0,2,2,20,0
403,66,2024091502,,,,,,10,18,0,1,1,5,0
404,71,2024091502,,,,,,7,22,0,0,0,0,0
405,79,2024091505,,,,,,0,0,0,5,3,19,0
406,317,2024091512,,,,,,1,16,0,1,1,2,0
407,318,2024091503,,,,,,6,15,0,1,1,3,0
408,95,2024091511,,,,,,11,10,0,1,1,7,0
409,319,2024091502,,,,,,0,0,0,1,1,17,0
410,115,2024091501,,,,,,4,11,0,1,1,6,0
411,88,2024091201,,,,,,0,0,0,2,2,12,0
412,320,2024091508,,,,,,3,11,0,0,0,0,0
413,76,2024091503,,,,,,5,9,0,0,0,0,0
414,321,2024091503,,,,,,2,0,0,1,1,7,0
415,105,2024091601,,,,,,2,6,0,0,0,0,0
416,108,2024091514,,,,,,1,6,0,0,0,0,0
417,85,2024091512,,,,,,3,6,0,0,0,0,0
418,82,2024091509,,,,,,1,-5,0,2,1,10,0
419,322,2024091201,,,,,,5,4,0,0,0,0,0
420,104,2024091512,,,,,,2,3,0,0,0,0,0
421,109,2024091513,,,,,,0,0,0,1,1,3,0
422,323,2024091510,,,,,,2,1,0,2,2,1,0
423,324,2024091503,,,,,,0,0,0,1,1,2,0
424,325,2024091506,,,,,,1,2,0,0,0,0,0
425,110,2024091201,,,,,,2,2,0,0,0,0,0
426,113,2024091507,,,,,,1,2,0,0,0,0,0
427,116,2024091512,,,,,,0,0,0,1,1,1,0
428,326,2024091505,,,,,,1,0,0,0,0,0,0
429,327,2024091501,,,,,,0,0,0,1,0,0,0
430,328,2024091510,,,,,,0,0,0,1,0,0,0
431,100,2024091511,,,,,,0,0,0,1,1,0,0
432,225,2024091511,,,,,,0,0,0,8,4,130,2
433,169,2024091504,,,,,,1,10,1,6,4,77,1
434,134,2024091514,,,,,,0,0,0,10,8,135,1
435,133,2024091505,,,,,,0,0,0,7,4,133,1
436,183,2024091506,,,,,,0,0,0,14,10,129,1
437,152,2024091507,,,,,,0,0,0,18,10,127,1
438,130,2024091502,,,,,,0,0,0,8,7,117,1
439,176,2024091508,,,,,,0,0,0,6,5,51,2
440,159,2024091510,,,,,,0,0,0,12,9,110,1
441,132,2024091501,,,,,,3,13,0,4,4,96,1
442,166,2024091510,,,,,,0,0,0,11,7,91,1
443,143,2024091501,,,,,,0,0,0,7,4,90,1
444,202,2024091601,,,,,,0,0,0,7,3,88,1
445,146,2024091601,,,,,,0,0,0,10,7,76,1
446,139,2024091513,,,,,,0,0,0,6,5,75,1
447,186,2024091513,,,,,,0,0,0,4,2,7,2
448,207,2024091502,,,,,,0,0,0,19,11,119,0
449,194,2024091506,,,,,,0,0,0,16,12,117,0
450,125,2024091503,,,,,,0,0,0,7,5,56,1
451,201,2024091601,,,,,,0,0,0,7,6,54,1
