player_id,team_id,player_name,position,age,exp,injury_status
0329,32,Noah Brown,WR,,,
0330,19,Tutu Atwell,WR,,,
0331,7,Jermaine Burton,WR,,,
0332,8,David Bell,WR,,,
0333,26,Britain Covey,WR,,,
0334,19,Jordan Whittington,WR,,,
0335,25,Mike Williams,WR,,,
0336,32,Dyami Brown,WR,,,
0337,21,Trent Sherfield,WR,,,
0338,21,Brandon Powell,WR,,,
0339,29,Jake Bobo,WR,,,
0340,20,Grant DuBose,WR,,,
0341,11,Tim Patrick,WR,,,
0342,12,Bo Melton,WR,,,
0343,20,Robbie Chosen,WR,,,
0344,28,Chris Conley,WR,,,
0345,25,Malachi Corley,WR,,,
0346,10,Troy Franklin,WR,,,
0347,11,Tom Kennedy,WR,,,
0348,15,Brenton Strange,TE,,,
0349,9,Luke Schoonmaker,TE,,,
0350,7,Erick All,TE,,,
0351,7,Drew Sample,TE,,,
0352,5,Tommy Tremble,TE,,,
0353,13,Cade Stover,TE,,,
0354,15,Luke Farrell,TE,,,
0355,31,Josh Whyle,TE,,,
0356,14,Andrew Ogletree,TE,,,
0357,16,Jared Wiley,TE,,,
0358,3,Charlie Kolar,TE,,,
0359,10,Nate Adkins,TE,,,
0360,17,Harrison Bryant,TE,,,
0361,25,Jeremy Ruckert,TE,,,
0362,9,Brevyn Spann-Ford,TE,,,
0363,18,Eric Tomlinson,TE,,,
